trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
885,False,"{'a': 0.01, 'e': 0.22473364462115974}",20,15,8.573542573629908,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,False,"{'a': 0.01, 'e': 0.22360837036314907}",20,3,-26.47204076231206,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
887,False,"{'a': 0.01, 'e': 0.22248788854510382}",20,10,19.487283852455413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,False,"{'a': 0.01, 'e': 0.221372187950873}",25,0,-54.62295316644518,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
889,False,"{'a': 0.01, 'e': 0.2202612572813657}",25,7,-4.931798287034175,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
890,False,"{'a': 0.01, 'e': 0.2191550851561509}",20,5,-13.126849608259386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
891,False,"{'a': 0.01, 'e': 0.21805366011504057}",30,11,7.551220191931568,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
892,False,"{'a': 0.01, 'e': 0.21695697061966168}",25,9,-2.86369950031434,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
893,False,"{'a': 0.01, 'e': 0.2158650050550105}",30,2,-22.592302196768273,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
894,False,"{'a': 0.01, 'e': 0.21477775173099756}",30,0,-9.78884085582136,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
895,False,"{'a': 0.01, 'e': 0.2136951988839737}",35,14,25.142462053023714,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
896,False,"{'a': 0.01, 'e': 0.21261733467824573}",30,23,13.527227149938817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
897,False,"{'a': 0.01, 'e': 0.2115441472075772}",25,17,7.6543672704854915,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
898,False,"{'a': 0.01, 'e': 0.210475624496674}",20,14,13.736368379306445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,False,"{'a': 0.01, 'e': 0.2094117545026587}",25,18,13.24161618428595,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
